it: 62, min: 4.7695488929748535, max: 16.393917083740234, mean: 9.55080509185791, var: 7.207409381866455, global_min: 1.0813629627227783
it: 63, min: 3.5922045707702637, max: 15.72960090637207, mean: 9.500606536865234, var: 6.391069412231445, global_min: 1.0813629627227783
it: 64, min: 3.838961124420166, max: 17.29340171813965, mean: 9.394596099853516, var: 6.143627643585205, global_min: 1.0813629627227783
it: 65, min: 4.610556602478027, max: 17.19577407836914, mean: 9.72102165222168, var: 6.991967678070068, global_min: 1.0813629627227783
it: 66, min: 4.732054233551025, max: 17.210683822631836, mean: 9.788674354553223, var: 7.225151062011719, global_min: 1.0813629627227783
it: 67, min: 3.8108160495758057, max: 16.956727981567383, mean: 9.604296684265137, var: 6.650781154632568, global_min: 1.0813629627227783
it: 68, min: 4.471498012542725, max: 17.847171783447266, mean: 9.801153182983398, var: 6.901385307312012, global_min: 1.0813629627227783
it: 69, min: 4.316124439239502, max: 15.635645866394043, mean: 9.79598331451416, var: 6.039215087890625, global_min: 1.0813629627227783
it: 70, min: 4.769888877868652, max: 16.0413761138916, mean: 10.054388046264648, var: 5.548773765563965, global_min: 1.0813629627227783
it: 71, min: 4.7039313316345215, max: 15.830036163330078, mean: 10.092361450195312, var: 4.4250946044921875, global_min: 1.0813629627227783
it: 72, min: 6.0458760261535645, max: 15.436736106872559, mean: 10.259360313415527, var: 3.4639580249786377, global_min: 1.0813629627227783
it: 73, min: 5.802295684814453, max: 15.15872859954834, mean: 10.429813385009766, var: 3.187575101852417, global_min: 1.0813629627227783
it: 74, min: 6.463871479034424, max: 15.516449928283691, mean: 10.59667682647705, var: 2.878749370574951, global_min: 1.0813629627227783
it: 75, min: 4.920551300048828, max: 14.83574104309082, mean: 10.679008483886719, var: 2.6647119522094727, global_min: 1.0813629627227783
it: 76, min: 5.150111675262451, max: 14.862410545349121, mean: 10.528295516967773, var: 2.52569580078125, global_min: 1.0813629627227783
it: 77, min: 6.477899551391602, max: 14.571420669555664, mean: 10.506635665893555, var: 2.0044164657592773, global_min: 1.0813629627227783
it: 78, min: 5.180885314941406, max: 15.021947860717773, mean: 10.366762161254883, var: 3.0442559719085693, global_min: 1.0813629627227783
it: 79, min: 4.005000114440918, max: 15.202871322631836, mean: 10.212102890014648, var: 3.864980936050415, global_min: 1.0813629627227783
it: 80, min: 3.9466593265533447, max: 16.723514556884766, mean: 10.146126747131348, var: 4.728275299072266, global_min: 1.0813629627227783
it: 81, min: 4.077814102172852, max: 15.564613342285156, mean: 9.8988037109375, var: 4.6009111404418945, global_min: 1.0813629627227783
it: 82, min: 3.4126627445220947, max: 16.274742126464844, mean: 9.851380348205566, var: 5.661322116851807, global_min: 1.0813629627227783
it: 83, min: 3.329317092895508, max: 19.958545684814453, mean: 9.873075485229492, var: 5.906471252441406, global_min: 1.0813629627227783
it: 84, min: 2.9406490325927734, max: 16.639583587646484, mean: 9.94645881652832, var: 4.671394348144531, global_min: 1.0813629627227783
it: 85, min: 4.3136420249938965, max: 15.364828109741211, mean: 10.248825073242188, var: 3.863818883895874, global_min: 1.0813629627227783
it: 86, min: 5.016115665435791, max: 14.6924409866333, mean: 10.397223472595215, var: 3.03173828125, global_min: 1.0813629627227783
it: 87, min: 6.5124664306640625, max: 14.79434585571289, mean: 10.670525550842285, var: 2.359468698501587, global_min: 1.0813629627227783
it: 88, min: 6.637119293212891, max: 14.68187141418457, mean: 10.664936065673828, var: 2.490556240081787, global_min: 1.0813629627227783
it: 89, min: 7.259189605712891, max: 14.69062328338623, mean: 10.74988842010498, var: 2.2827327251434326, global_min: 1.0813629627227783
it: 90, min: 6.874482154846191, max: 15.861987113952637, mean: 10.603422164916992, var: 2.390061378479004, global_min: 1.0813629627227783
it: 91, min: 3.0146424770355225, max: 16.903911590576172, mean: 10.45897102355957, var: 3.3269588947296143, global_min: 1.0813629627227783
it: 92, min: 3.082679271697998, max: 16.178428649902344, mean: 10.347770690917969, var: 3.353848695755005, global_min: 1.0813629627227783
it: 93, min: 2.1655056476593018, max: 17.333419799804688, mean: 9.917593002319336, var: 5.030967712402344, global_min: 1.0813629627227783
it: 94, min: 1.852965235710144, max: 15.459649085998535, mean: 9.633230209350586, var: 5.745152473449707, global_min: 1.0813629627227783
it: 95, min: 1.4911099672317505, max: 17.81210708618164, mean: 9.794705390930176, var: 7.358521461486816, global_min: 1.0813629627227783
it: 96, min: 1.6677520275115967, max: 16.891742706298828, mean: 9.73862361907959, var: 8.09071159362793, global_min: 1.0813629627227783
it: 97, min: 1.989662766456604, max: 18.596607208251953, mean: 9.514065742492676, var: 8.938392639160156, global_min: 1.0813629627227783
it: 98, min: 2.79665207862854, max: 18.62569236755371, mean: 9.717540740966797, var: 7.90748405456543, global_min: 1.0813629627227783
it: 99, min: 3.1047749519348145, max: 15.603328704833984, mean: 9.901281356811523, var: 5.500288963317871, global_min: 1.0813629627227783
it: 100, min: 4.3709940910339355, max: 16.161426544189453, mean: 9.968389511108398, var: 4.870419502258301, global_min: 1.0813629627227783
it: 101, min: 4.119638919830322, max: 17.84333610534668, mean: 10.097129821777344, var: 4.1513566970825195, global_min: 1.0813629627227783
it: 102, min: 4.393415451049805, max: 17.11602210998535, mean: 10.385048866271973, var: 4.009802341461182, global_min: 1.0813629627227783
it: 103, min: 5.06532096862793, max: 17.061054229736328, mean: 10.407205581665039, var: 3.366971254348755, global_min: 1.0813629627227783
it: 104, min: 6.395843982696533, max: 17.09260368347168, mean: 10.232507705688477, var: 3.1924853324890137, global_min: 1.0813629627227783
it: 105, min: 3.4769139289855957, max: 14.6373929977417, mean: 10.136208534240723, var: 3.169024705886841, global_min: 1.0813629627227783
it: 106, min: 4.29456090927124, max: 15.99152660369873, mean: 10.240957260131836, var: 4.093587875366211, global_min: 1.0813629627227783
it: 107, min: 3.6735682487487793, max: 21.790538787841797, mean: 10.288554191589355, var: 3.637577772140503, global_min: 1.0813629627227783
it: 108, min: 3.4065749645233154, max: 21.468137741088867, mean: 10.363786697387695, var: 4.4109954833984375, global_min: 1.0813629627227783
it: 109, min: 6.410920143127441, max: 27.067140579223633, mean: 10.470009803771973, var: 5.267187595367432, global_min: 1.0813629627227783
it: 110, min: 4.660068511962891, max: 18.217113494873047, mean: 10.315051078796387, var: 4.604010105133057, global_min: 1.0813629627227783
it: 111, min: 4.789120674133301, max: 20.305627822875977, mean: 10.05698013305664, var: 5.166281700134277, global_min: 1.0813629627227783
it: 112, min: 5.179717540740967, max: 16.531543731689453, mean: 9.977442741394043, var: 5.089869976043701, global_min: 1.0813629627227783
it: 113, min: 3.6625094413757324, max: 16.720985412597656, mean: 9.798991203308105, var: 5.2166666984558105, global_min: 1.0813629627227783
it: 114, min: 2.54836368560791, max: 15.38818645477295, mean: 9.910754203796387, var: 4.991655349731445, global_min: 1.0813629627227783
