fitness: [[ 1.50685272e+01  4.86253510e+02]
 [-5.55967064e+01  4.88549133e+02]
 [-7.88447937e+02  4.71859192e+02]
 [ 2.65977509e+02  4.71928741e+02]
 [-2.62607455e-01  5.09738708e+02]
 [ 2.86045532e+02  4.73418213e+02]
 [-1.07546655e+03  4.88631470e+02]
 [-8.89274979e+01  4.90646484e+02]
 [-6.07548035e+02  5.02642914e+02]
 [-7.42871323e+01  4.70730316e+02]
 [ 1.58058380e+02  4.82991455e+02]
 [ 1.38895172e+02  4.83336029e+02]
 [-6.48062866e+02  4.69831390e+02]
 [ 5.78808022e+01  4.88468109e+02]
 [-9.51616333e+02  4.79179016e+02]
 [-4.67880035e+02  4.68374725e+02]
 [-2.05233109e+02  4.72471466e+02]
 [ 5.95701103e+01  4.94350708e+02]
 [-1.26096753e+03  4.98367523e+02]
 [-9.08467224e+02  4.75511444e+02]
 [ 1.89259888e+02  4.86250061e+02]
 [-8.89062023e+00  4.81936615e+02]
 [-4.53011353e+02  4.77429047e+02]
 [-1.64938126e+02  4.85922241e+02]
 [-1.02157837e+03  4.67305023e+02]
 [ 8.75007820e+00  4.83718933e+02]
 [-1.00781517e+02  5.07018066e+02]
 [-8.89333496e+02  4.68987335e+02]
 [ 1.49414032e+02  4.81429565e+02]
 [-1.16427502e+03  4.85896332e+02]
 [-6.30588303e+01  4.77272461e+02]
 [ 1.46767273e+02  4.97833099e+02]
 [ 9.14585419e+01  4.83139008e+02]], non_dominated_rank: [23  3  1  8  8  0 22  9 14  3  3 32  2 25  1 11  1  2 10 19  6 30  4 13
 14  5  7  8 16 18  5  8  2  8  6  6  1  0 24  2  3 10  3  5  8  9 19  3
  7 22 13  2 23  4  2  7  4  0 28 12  7 16  5  5 24  9 10  1  1 23  3  3
 23 17 16  8  1 18  4  3 14 15  1  7 16  9  4  7 13 26  1 11  7  6 26  7
 22  4 15 21  4  8  3  4  5 20  0 12  0  4  1  3  3 15  0  1  5 18 25 11
  9  0 20  7  3  2  4  2  2 19 28  2 16 18 11 13 13 10 19  7 17 14  1 22
  9 26 21 20  3  5  2  6 18 17 17  3 16 15  0 21 23 22  1  8  4  0  3  8
 15  7  2  0  3  7  2  4 28  5 17 26 29  7 21  6  6 18  2  4 21  1  0  7
 18  5  4  6  4  0  6  2 15  7 24 27  0 28 26 11 26  9 15 16 22 15 18  6
  3  0 23 16 27 12 20 20 10 25  7  2 33 14 24 19 24  5 10 22  1 14 18  5
  1  6 12 18 15 23 33  5 18 18 19 32  7 20 13  3 25  1 20  9 19 25 27 12
  5  3  6  4 26 10  2 21  4  4 12 21 15 23 16 24 19  5 25 18 29 12  7 26
 21  7 19  6 15 14  3 14  2 17 31 20 24 11 25 12  5 30 18 10 27  7 17 15
 18 15 17  6  4  3 11 31 19 11 24 14  8 17  2  7 14 16 21 28 26  6  2 19
  5 21 16 23  2 12 20 30 16 17 30  0 19 14 17 12  3 28 23  3 16  2 25 14
 24 25 31 22  8  1  6  6 20  4 16 27 17  5 21 13 13 24 25  8 25  6 10 13
 27  7  5 27 20 13 17  0 22 25  1 23  1 16 29 24]
