it: 197, min: -2453.83349609375, max: -112.22633361816406, mean: -2073.212158203125, var: 158701.953125, global_min: -2471.74267578125
it: 198, min: -2439.318115234375, max: -129.40380859375, mean: -2071.982421875, var: 152560.40625, global_min: -2471.74267578125
it: 199, min: -2503.256591796875, max: -275.2595520019531, mean: -2091.728271484375, var: 94338.7578125, global_min: -2503.256591796875
it: 200, min: -2410.27587890625, max: -176.5361785888672, mean: -2078.073486328125, var: 128908.5390625, global_min: -2503.256591796875
it: 201, min: -2509.949462890625, max: -61.05842208862305, mean: -2035.1571044921875, var: 208303.875, global_min: -2509.949462890625
it: 202, min: -2452.97119140625, max: -54.63648223876953, mean: -1999.367431640625, var: 284630.0625, global_min: -2509.949462890625
it: 203, min: -2513.406982421875, max: -70.13581085205078, mean: -2020.7943115234375, var: 245355.71875, global_min: -2513.406982421875
it: 204, min: -2428.91748046875, max: -122.47064971923828, mean: -2036.3768310546875, var: 206744.21875, global_min: -2513.406982421875
it: 205, min: -2418.84130859375, max: -173.6450958251953, mean: -2038.8448486328125, var: 179135.59375, global_min: -2513.406982421875
it: 206, min: -2422.77783203125, max: -155.70501708984375, mean: -1976.5626220703125, var: 245866.1875, global_min: -2513.406982421875
it: 207, min: -2432.09814453125, max: -151.7865447998047, mean: -2057.70556640625, var: 165811.390625, global_min: -2513.406982421875
it: 208, min: -2502.094970703125, max: -302.8034362792969, mean: -2072.53515625, var: 149641.921875, global_min: -2513.406982421875
it: 209, min: -2501.72314453125, max: -185.31222534179688, mean: -1986.4888916015625, var: 266449.21875, global_min: -2513.406982421875
it: 210, min: -2484.4482421875, max: -203.92721557617188, mean: -1954.4698486328125, var: 292598.0625, global_min: -2513.406982421875
it: 211, min: -2525.148681640625, max: -239.0940399169922, mean: -2000.848388671875, var: 240169.3125, global_min: -2525.148681640625
it: 212, min: -2439.23828125, max: -81.34574127197266, mean: -2016.1314697265625, var: 210796.28125, global_min: -2525.148681640625
it: 213, min: -2426.250732421875, max: -250.8514404296875, mean: -2021.306640625, var: 177803.953125, global_min: -2525.148681640625
it: 214, min: -2537.093994140625, max: -250.83383178710938, mean: -2040.654052734375, var: 176198.796875, global_min: -2537.093994140625
it: 215, min: -2412.198486328125, max: -235.33206176757812, mean: -2093.00830078125, var: 110531.4765625, global_min: -2537.093994140625
it: 216, min: -2498.6845703125, max: -77.56123352050781, mean: -2086.87646484375, var: 157728.421875, global_min: -2537.093994140625
it: 217, min: -2503.494384765625, max: -154.18667602539062, mean: -2106.2900390625, var: 193603.953125, global_min: -2537.093994140625
it: 218, min: -2572.359130859375, max: -242.6977996826172, mean: -2069.547119140625, var: 243144.03125, global_min: -2572.359130859375
it: 219, min: -2486.881591796875, max: -85.67584228515625, mean: -2062.1005859375, var: 262651.5625, global_min: -2572.359130859375
it: 220, min: -2579.61083984375, max: -133.00003051757812, mean: -2106.8203125, var: 232213.671875, global_min: -2579.61083984375
it: 221, min: -2580.066650390625, max: -128.69920349121094, mean: -2057.510009765625, var: 290281.96875, global_min: -2580.066650390625
it: 222, min: -2501.5419921875, max: -87.38560485839844, mean: -2138.5791015625, var: 159158.734375, global_min: -2580.066650390625
it: 223, min: -2499.181396484375, max: -172.28643798828125, mean: -2142.01025390625, var: 139792.5625, global_min: -2580.066650390625
it: 224, min: -2539.697021484375, max: -244.28518676757812, mean: -2129.048583984375, var: 177247.203125, global_min: -2580.066650390625
