it: 169, min: -976.619384765625, max: -347.3520202636719, mean: -611.6820068359375, var: 9490.8837890625, global_min: -1244.71533203125
it: 170, min: -903.5172119140625, max: -370.2138671875, mean: -606.4266357421875, var: 8244.927734375, global_min: -1244.71533203125
it: 171, min: -989.9314575195312, max: -373.1109313964844, mean: -618.25732421875, var: 8871.7001953125, global_min: -1244.71533203125
it: 172, min: -1110.8125, max: -188.5751495361328, mean: -625.0472412109375, var: 10567.1513671875, global_min: -1244.71533203125
it: 173, min: -995.2650146484375, max: -216.10025024414062, mean: -625.2852172851562, var: 9073.125, global_min: -1244.71533203125
it: 174, min: -1043.766845703125, max: -332.7366027832031, mean: -627.25390625, var: 10443.95703125, global_min: -1244.71533203125
it: 175, min: -1137.155517578125, max: -353.990966796875, mean: -621.552490234375, var: 9901.634765625, global_min: -1244.71533203125
it: 176, min: -1084.005615234375, max: -160.5989532470703, mean: -635.3516845703125, var: 9983.53515625, global_min: -1244.71533203125
it: 177, min: -1172.5855712890625, max: -353.7236633300781, mean: -643.084228515625, var: 10161.0595703125, global_min: -1244.71533203125
it: 178, min: -1189.824462890625, max: -383.0830078125, mean: -643.2224731445312, var: 9753.97265625, global_min: -1244.71533203125
it: 179, min: -1260.3204345703125, max: -405.25921630859375, mean: -645.2730102539062, var: 10559.921875, global_min: -1260.3204345703125
it: 180, min: -1051.37890625, max: -212.32945251464844, mean: -640.6363525390625, var: 10826.6826171875, global_min: -1260.3204345703125
it: 181, min: -1257.5445556640625, max: -356.76678466796875, mean: -644.3727416992188, var: 11027.7119140625, global_min: -1260.3204345703125
it: 182, min: -1177.5535888671875, max: -405.7746276855469, mean: -646.3709106445312, var: 11785.392578125, global_min: -1260.3204345703125
it: 183, min: -987.9466552734375, max: -321.0631103515625, mean: -646.4773559570312, var: 10143.7841796875, global_min: -1260.3204345703125
it: 184, min: -1236.0850830078125, max: -267.1065673828125, mean: -663.8139038085938, var: 16147.8671875, global_min: -1260.3204345703125
it: 185, min: -1168.366455078125, max: -415.2540283203125, mean: -664.1640625, var: 13370.166015625, global_min: -1260.3204345703125
it: 186, min: -1308.444091796875, max: -412.119384765625, mean: -675.6923217773438, var: 14867.759765625, global_min: -1308.444091796875
it: 187, min: -1220.3638916015625, max: -338.6661682128906, mean: -667.0709838867188, var: 16514.904296875, global_min: -1308.444091796875
it: 188, min: -1129.981689453125, max: -310.1907043457031, mean: -671.6055908203125, var: 12935.8876953125, global_min: -1308.444091796875
it: 189, min: -1366.700927734375, max: -324.7778015136719, mean: -662.4829711914062, var: 14596.8642578125, global_min: -1366.700927734375
it: 190, min: -1456.77734375, max: -399.7493591308594, mean: -671.946533203125, var: 15710.251953125, global_min: -1456.77734375
it: 191, min: -1071.6697998046875, max: -334.0714416503906, mean: -657.0261840820312, var: 11639.544921875, global_min: -1456.77734375
it: 192, min: -1074.77783203125, max: -387.6480407714844, mean: -645.0955810546875, var: 10618.5185546875, global_min: -1456.77734375
it: 193, min: -1018.4071655273438, max: -409.0840148925781, mean: -638.1824951171875, var: 10896.1494140625, global_min: -1456.77734375
it: 194, min: -1149.9195556640625, max: -234.02581787109375, mean: -629.7740478515625, var: 9252.009765625, global_min: -1456.77734375
it: 195, min: -1120.11181640625, max: -136.9905548095703, mean: -629.9965209960938, var: 9949.099609375, global_min: -1456.77734375
it: 196, min: -1135.7762451171875, max: -246.7264404296875, mean: -636.7642822265625, var: 10620.1044921875, global_min: -1456.77734375
it: 197, min: -1145.43896484375, max: -217.67227172851562, mean: -639.5162963867188, var: 9612.701171875, global_min: -1456.77734375
it: 198, min: -974.8095703125, max: -335.78582763671875, mean: -640.5100708007812, var: 9983.1884765625, global_min: -1456.77734375
it: 199, min: -954.8374633789062, max: -392.2628479003906, mean: -657.3123168945312, var: 9610.208984375, global_min: -1456.77734375
it: 200, min: -965.7742919921875, max: -257.1016540527344, mean: -651.1704711914062, var: 8940.8974609375, global_min: -1456.77734375
it: 201, min: -1013.6777954101562, max: -367.3414306640625, mean: -659.9637451171875, var: 8421.59765625, global_min: -1456.77734375
it: 202, min: -1230.12939453125, max: -292.4930725097656, mean: -652.5773315429688, var: 9409.490234375, global_min: -1456.77734375
it: 203, min: -917.1864013671875, max: -396.2965393066406, mean: -650.072265625, var: 7946.2587890625, global_min: -1456.77734375
it: 204, min: -1184.58837890625, max: -363.314208984375, mean: -653.1287231445312, var: 9192.3583984375, global_min: -1456.77734375
it: 205, min: -955.4176635742188, max: -400.58673095703125, mean: -650.7786865234375, var: 8686.681640625, global_min: -1456.77734375
it: 206, min: -1192.703369140625, max: -384.32086181640625, mean: -644.319091796875, var: 8651.27734375, global_min: -1456.77734375
it: 207, min: -989.929931640625, max: -273.67706298828125, mean: -645.9313354492188, var: 6826.7724609375, global_min: -1456.77734375
it: 208, min: -1047.626220703125, max: -334.4166564941406, mean: -650.33544921875, var: 9042.06640625, global_min: -1456.77734375
it: 209, min: -1029.32958984375, max: -379.2783508300781, mean: -661.2000122070312, var: 8479.8984375, global_min: -1456.77734375
it: 210, min: -1037.9466552734375, max: -317.43572998046875, mean: -652.8824462890625, var: 9111.3896484375, global_min: -1456.77734375
it: 211, min: -1079.0443115234375, max: -359.8511657714844, mean: -658.0789184570312, var: 9179.359375, global_min: -1456.77734375
it: 212, min: -1220.0169677734375, max: -388.0146179199219, mean: -652.9479370117188, var: 8841.80078125, global_min: -1456.77734375
it: 213, min: -1126.68603515625, max: -349.23138427734375, mean: -653.3145751953125, var: 9280.392578125, global_min: -1456.77734375
it: 214, min: -971.79052734375, max: -305.1280517578125, mean: -652.278076171875, var: 5859.55615234375, global_min: -1456.77734375
it: 215, min: -1061.256103515625, max: -301.7652282714844, mean: -656.8616943359375, var: 8097.5087890625, global_min: -1456.77734375
it: 216, min: -893.8604125976562, max: -386.4955139160156, mean: -651.2322387695312, var: 7428.94970703125, global_min: -1456.77734375
it: 217, min: -918.5706787109375, max: -367.5164489746094, mean: -657.7349853515625, var: 8258.8125, global_min: -1456.77734375
it: 218, min: -944.9983520507812, max: -402.4151306152344, mean: -662.0122680664062, var: 7927.20654296875, global_min: -1456.77734375
it: 219, min: -972.192138671875, max: -354.8482666015625, mean: -659.546875, var: 6978.5498046875, global_min: -1456.77734375
it: 220, min: -1125.0018310546875, max: -354.1842041015625, mean: -650.3838500976562, var: 8061.28369140625, global_min: -1456.77734375
it: 221, min: -958.9286499023438, max: -389.3438415527344, mean: -655.4168701171875, var: 6511.37109375, global_min: -1456.77734375
